doCrOsgMVe@yahoo.com,RENAME,2025-05-13,16:16:18
YZwQoreNbO@ya.ru,REVOKE,2025-05-13,16:16:18
YcdnBFMuPo@yahoo.com,DELETE,2025-05-13,16:16:18
FUnrIdlODU@ya.ru,REVOKE,2025-05-13,16:16:18
YZwQoreNbO@yahoo.com,RENAME,2025-05-13,16:16:18
FSCiKOXCBw@ya.ru,RENAME,2025-05-13,16:16:18
YGzWPVCzOB@mail.ru,REVOKE,2025-05-13,16:16:18
pHkurLmGiB@yahoo.com,GRANT,2025-05-13,16:16:18
cDxhszCsSh@mail.ru,DROP,2025-05-13,16:16:18
FpTvoPnfmi@yandex.ru,INSERT,2025-05-13,16:16:18
HCVtCqmMCq@ya.ru,DROP,2025-05-13,16:16:18
gwhRyUqwui@gmail.com,CREATE,2025-05-13,16:16:18
doCrOsgMVe@ya.ru,REPLACE,2025-05-13,16:16:18
sugFTaFHAo@yandex.ru,DELETE,2025-05-13,16:16:18
gwhRyUqwui@gmail.com,UPDATE,2025-05-13,16:16:18
kpxeJlbbdG@yandex.ru,GRANT,2025-05-13,16:16:18
FpTvoPnfmi@gmail.com,CREATE,2025-05-13,16:16:18
duLaGRehYh@ya.ru,CREATE,2025-05-13,16:16:18
SqRsuuFvfc@yandex.ru,REPLACE,2025-05-13,16:16:18
